smiles,electronic_energy,HOMO_LUMO_gap,dipole_moment,crystal_density,heat_of_formation
CC(N1C(=O)OC2=C1OCO2)C1=COC(=O)O1,-928.4084149,5.14707414,3.9633,1.673,-214.627
CC1(OCC(OC=O)OC(=O)O1)C(=O)C#N,-890.3363037,4.82869842,4.1748,1.625,-247.337
NC1=C(O)C(=C(N)O1)[N+]([O-])=O,-620.4762182,3.664586172,3.8336,1.728,-77.626
[O-][N+](=O)C1=NC2=C(NC2)NC1=O,-637.4484699,3.813433624,9.9914,1.774,22.904
CC(N)=NCC(C=O)N1N=C(O)N=C1[N+]([O-])=O,-902.0411377,3.815610552,4.0358,1.543,-34.889
CC(=O)OC(C(O)=O)C(=N)NC1=COC(O)=N1,-925.8883948,5.406672804,5.8089,1.683,-236.062
[O-][N+](=O)C1=CC=NN=NC1=N,-578.1948918,3.79057588,3.1106,1.589,129.683
NNC1=NOC(=C1)[N+]([O-])=O,-561.2029068,4.093168872,6.785,1.661,32.803
CC1=NC(=O)C=NC(C(O)=O)=C(O)OC(=N)N1,-904.741109,3.840100992,5.1569,1.637,-123.687
CC(OC1=C(OC(N)=O)OC(=O)N1)(C=O)C#N,-924.6274136,3.660232316,7.1917,1.693,-193.45
[O-][N+](=O)C1=C2C(=O)NC2=NN1,-598.0995258,3.844454848,3.493,1.744,54.41
CC(=C)N1N=C(OC1=N)[N+]([O-])=O,-638.6554018,3.333693116,3.4452,1.512,21.913
ON1C=C(NC1=N)[N+]([O-])=O,-561.2287498,3.487982888,3.2672,1.702,16.941
CC1=NC(C)=C(OC(=O)C(=O)OC=N1)[N+]([O-])=O,-924.4983734,4.482294752,7.934,1.657,-103.151
[O-][N+](=O)C1=C(OC(C=O)=N1)C=C,-641.2961968,4.280656796,3.1174,1.552,-35.511
CC1(O)CCOC1=NC1=NC(=C(O)O1)[N+]([O-])=O,-925.7482591,4.39059166,6.2213,1.675,-148.583
NN=COC1=CC(=CO1)[N+]([O-])=O,-658.5042892,3.89670112,5.2964,1.604,-17.388
CNN1C=C(N)C(=N1)[N+]([O-])=O,-580.69633,3.980240732,5.6961,1.53,45.922
CC1=NC(=N)C(=O)OC(O)=COC=C1[N+]([O-])=O,-924.4686066,3.767173904,2.0063,1.651,-83.502
CC(O)C1=C(C(=O)NN1)[N+]([O-])=O,-659.7720364,4.602570024,8.4336,1.693,-72.449
NC1=CC(=NC(=O)O1)[N+]([O-])=O,-619.2775261,3.96745128,8.3601,1.801,-72.04
CC1=C(OC(C=NO)=N1)[N+]([O-])=O,-658.5197198,4.169089236,3.6496,1.601,-26.507
NC(=O)N1C=C(O)C(=C1)[N+]([O-])=O,-658.6078214,3.899150164,5.7299,1.678,-82.88
CC(O)C(OC=O)C(=O)C1=NOC2=NC=NN12,-904.6884905,5.551438516,4.0566,1.569,-91.4
[O-][N+](=O)C1=NC(=NN1)C(=C)C#N,-616.3851688,4.26813946,1.187,1.594,79.153
CC1=NC2=C(ON=NC(N)=N2)C(=O)N=C(N)O1,-879.769991,3.502949268,5.9812,1.704,25.28
CC(N=C1NC(=O)COC(=O)NC1=O)C(O)=O,-925.8950739,5.218912764,5.0044,1.663,-244.12
CN1C2=C(NN=C2O)N(C=O)C(C(O)=O)C1=O,-904.7985056,4.714681816,1.2162,1.687,-167.262
COCC1=C(OC=N1)[N+]([O-])=O,-604.3985416,4.453722572,3.0596,1.512,-59.718
